100015379;	378;	0;	2021@11@18
100015380;	108;	0;	2021@11@18
100015399;	939;	0;	2021@11@18
100015409;	48;	0;	2021@11@18
100015410;	48;	0;	2021@11@18
100015411;	50;	0;	2021@11@18
100015412;	50;	0;	2021@11@18
100015413;	50;	0;	2021@11@18
200004104;	29;	0;	2021@11@18
200004158;	46;	0;	2021@12@07
200004162;	89;	0;	2021@11@18
200004342;	199;	0;	2021@11@18
200004343;	199;	0;	2021@11@18
200004344;	228;	0;	2021@11@18
200004345;	228;	0;	2021@11@18
200004346;	241;	0;	2021@11@18
200004347;	256;	0;	2021@11@18
200004348;	171;	0;	2021@11@18
200004349;	185;	0;	2021@11@18
200004350;	143;	0;	2021@11@18
200004351;	228;	0;	2021@11@18
200004352;	213;	0;	2021@11@18
200004353;	199;	0;	2021@11@18
200004354;	171;	0;	2021@11@18
200004355;	143;	0;	2021@11@18
200004356;	86;	0;	2021@11@18
200004357;	199;	0;	2021@11@18
200004358;	171;	0;	2021@11@18
200004359;	114;	0;	2021@11@18
200004413;	50;	0;	2021@11@18
200004415;	91;	0;	2021@11@18
200004417;	35;	0;	2021@11@18
200004421;	66;	0;	2021@11@18
200004542;	18;	0;	2021@11@18
200004625;	306;	0;	2021@11@18
200004656;	1035;	0;	2021@11@18
200004657;	4346;	0;	2021@11@18
200004658;	16213;	0;	2021@11@18
200004665;	8;	0;	2021@11@18
200004666;	14;	0;	2021@11@18
200004667;	34;	0;	2021@11@18
200004670;	56;	0;	2021@12@15
200004671;	93;	0;	2022@01@07
200004672;	116;	0;	2021@11@18
200004673;	141;	0;	2021@11@18
200004674;	185;	0;	2021@12@19
200004675;	260;	0;	2021@11@18
200004676;	418;	0;	2021@11@18
200004677;	550;	0;	2021@11@18
200004678;	25;	0;	2022@01@13
200004679;	37;	0;	2021@11@18
200004680;	47;	0;	2021@12@04
200004681;	79;	0;	2021@11@18
200004694;	75;	0;	2021@11@18
200004695;	140;	0;	2021@11@18
200004786;	298;	0;	2021@11@18
200004787;	3548;	0;	2021@11@18
200004902;	337;	0;	2021@11@18
200004903;	3778;	0;	2021@11@18
200004904;	8683;	0;	2021@11@18
200004950;	30;	0;	2021@11@18
200004964;	286;	0;	2021@11@18
200004975;	22;	0;	2021@11@18
200005010;	1519;	0;	2021@11@18
200005093;	1712;	0;	2021@11@18
200005096;	305;	0;	2021@11@18
200005097;	305;	0;	2021@11@18
200005098;	305;	0;	2021@11@18
200005099;	496;	0;	2021@11@18
200005100;	229;	0;	2021@11@18
200005101;	305;	0;	2021@11@18
200005102;	305;	0;	2021@11@18
200005120;	32;	0;	2021@11@18
200005123;	61;	0;	2021@11@18
200005124;	473;	0;	2021@11@18
200005156;	95;	0;	2021@11@18
200005181;	305;	0;	2021@11@18
200005230;	427;	0;	2021@11@18
200005231;	508;	0;	2021@11@18
200005232;	1028;	0;	2021@11@18
200005249;	737;	0;	2021@11@18
200005251;	866;	0;	2021@11@18
200005252;	1037;	0;	2021@11@18
200005253;	341;	0;	2021@11@18
200005254;	560;	0;	2021@11@18
200005272;	40;	0;	2021@11@18
200005276;	74;	0;	2021@11@22
200005277;	495;	0;	2021@11@18
200005278;	1625;	0;	2021@11@18
200005280;	8586;	0;	2021@11@18
200005281;	5687;	0;	2021@11@18
200005282;	12806;	0;	2021@11@18
200005290;	8556;	0;	2021@11@18
200005291;	1522;	0;	2021@11@18
200005292;	3043;	0;	2021@11@18
200005293;	1522;	0;	2021@11@18
200005294;	1522;	0;	2021@11@18
200005295;	1522;	0;	2021@11@18
200005296;	1522;	0;	2021@11@18
200005297;	1522;	0;	2021@11@18
200005298;	1522;	0;	2021@11@18
200005299;	2473;	0;	2021@11@18
200005300;	3043;	0;	2021@11@18
200005301;	1137;	0;	2021@11@18
200005302;	305;	0;	2021@11@18
200005303;	610;	0;	2021@11@18
200005304;	305;	0;	2021@11@18
200005305;	305;	0;	2021@11@18
200005309;	3253;	0;	2021@11@18
200005310;	11924;	0;	2021@11@18
200005311;	3202;	0;	2021@11@18
200005312;	18407;	0;	2021@11@18
200005313;	305;	0;	2021@11@18
200005329;	24;	0;	2021@11@18
200005330;	24;	0;	2021@11@18
200005359;	87;	0;	2021@12@31
200005360;	632;	0;	2021@11@18
200005361;	1888;	0;	2021@11@18
200005373;	325;	0;	2021@11@18
200005374;	1232;	0;	2021@11@18
200005376;	71;	0;	2021@11@18
200005392;	198;	0;	2021@11@18
200005393;	124;	0;	2021@11@18
200005395;	436;	0;	2021@11@18
200005396;	1625;	0;	2021@11@18
200005410;	48;	0;	2021@11@18
310000150;	155;	0;	2021@11@18
310000151;	369;	0;	2021@11@18
310000152;	644;	0;	2021@10@30
310000153;	115;	0;	2021@11@18
310000154;	275;	0;	2021@11@18
310000155;	481;	0;	2021@11@18
40000847;	528;	0;	2021@11@18
40000851;	565;	0;	2021@11@18
40000981;	1141;	0;	2021@11@18
40001032;	808;	0;	2021@11@18
40001051;	588;	0;	2021@11@18
40001096;	303;	0;	2021@11@18
40001097;	303;	0;	2021@11@18
40001119;	3333;	0;	2021@12@14
40001120;	2398;	0;	2021@11@03
40001121;	4407;	0;	2021@11@09
40001122;	3297;	0;	2021@11@18
40001123;	2943;	0;	2021@11@18
40001151;	12670;	0;	2021@11@18
40001152;	12670;	0;	2021@11@18
40001153;	9352;	0;	2021@11@18
40001154;	9352;	0;	2021@11@18
40001181;	28;	0;	2021@11@18
40001182;	28;	0;	2021@11@18
40001254;	1141;	0;	2021@11@18
40001330;	4432;	0;	2021@11@03
40001372;	2828;	0;	2021@11@18
40001373;	2650;	0;	2021@11@18
40001375;	2774;	0;	2021@11@18
40001381;	2520;	0;	2021@11@18
40001424;	896;	0;	2021@11@18
40001425;	1772;	0;	2021@11@18
40001426;	1327;	0;	2021@11@18
50022215;	329;	0;	2021@11@18
50022792;	305;	0;	2021@11@18
50023151;	533;	0;	2021@11@18
50023172;	533;	0;	2021@11@18
50025482;	352;	0;	2021@11@18
50028199;	352;	0;	2021@11@18
50029556;	328;	0;	2021@11@18
50029923;	188;	0;	2021@11@18
50029924;	270;	0;	2021@11@18
50029929;	8054;	0;	2021@11@18
50030763;	329;	0;	2021@11@18
50031755;	211;	0;	2021@11@18
50031756;	229;	0;	2021@11@18
